"분류","경로","한줄 요약","상세 설명 (무엇을·왜·어떻게)","주요 export · 함수 (각 설명)","연결 (쓰는 것 / 쓰이는 곳)","읽기 팁 · 주의"
"루트","README.md","프로젝트 문서","기본 설명 문서.","-","-","-"
"루트","pnpm-lock.yaml","의존성 잠금","버전 잠금(자동생성).","-","-","수동 편집 금지"
"── public ──","public/","정적 자산","빌드 시 그대로 복사되는 파일.","-","-","-"
"정적","public/mars.png","MARS 이미지","로고/이미지 자산.","-","-","-"
"정적","public/anchor-icon.svg","앵커 아이콘","해병대 닻 아이콘.","-","-","-"
"정적","public/anchor-icon-white.svg","앵커(흰색)","어두운 배경용 흰색 닻.","-","-","-"
"── 진입/전역 ──","src/","소스 루트","-","-","-","-"
"진입점","src/main.tsx","앱 부팅","ReactDOM createRoot로 렌더. StrictMode + QueryClientProvider 장착. 전역 CSS·streamdown CSS import. vite:preloadError(청크 stale) 발생 시 tryReloadOnce로 자동 새로고침.","render(<StrictMode><QueryClientProvider><App/>); window.addEventListener('vite:preloadError', tryReloadOnce)","queryClient, App, chunkReload, global.css","앱이 어떻게 켜지는지 가장 먼저 볼 파일"
"라우팅","src/App.tsx","라우터 정의","AuthProvider로 감싼 RouterProvider. 공개(AuthLayout→'/'=Login) / 보호(ProtectedLayout→/chat,/chat/:id,/search,/rag) / 관리자(AdminLayout→/admin) / '*'=Error. Search·Rag·Admin은 lazy+Suspense(코드 스플리팅).","publicRoutes, protectedRoutes, createBrowserRouter, lazy()","AuthProvider, 각 Layout·Page, Skeleton(fallback)","라우트 추가/구조 파악은 여기. 레이아웃=가드+셸"
"스타일(핵심)","src/ui/styles/global.css","전역 스타일·토큰·로그인화면","@theme 디자인 토큰(--color-brand #DC143C 등) + 공용 유틸(.btn-primary,.card) + 애니메이션 keyframes(fade-in, cursor-blink, chase=로딩점, marsFloat/marsSpin/marsReveal) + 로그인/인트로 화면 스타일(.mars-*: root,intro,hero-planet,auth-panel,wordmark,orbit). body.modal-open{overflow:hidden}로 모달 스크롤 잠금.","@theme 토큰; .mars-* 규칙; keyframes","main.tsx import; LoginPage가 .mars-* 사용; Tailwind가 토큰 사용","로그인 애니메이션 로직 대부분 여기. 전환 타이밍 .7s 통일"
"스타일(미사용)","src/index.css","Vite 잔재","실사용 안 함(main은 global.css 로드).","-","-","삭제 후보"
"스타일(미사용)","src/App.css","Vite 잔재","import 안 됨.","-","-","삭제 후보"
"타입선언","src/utils/vite-env.d.ts","Vite 타입","import.meta.env 등 클라이언트 타입 참조.","/// reference vite/client","전역","-"
"── API 코어 ──","src/api/","서버통신 계층","저수준(axios)+서비스(엔드포인트)+전역상태(store)+쿼리클라이언트.","-","-","-"
"API코어(핵심)","src/api/lib/axios.ts","Axios+JWT 자동화","backendApi 인스턴스. JWT를 자동으로: 요청 전 만료임박 토큰 선제 refresh 후 Bearer 부착(AUTH 엔드포인트 제외); 401응답이면 refresh 후 원요청 1회 재시도, 실패하면 토큰삭제+'/'. refresh 중복은 pendingRefresh로 1건 합침. 만료 60초 전 예약갱신.","backendApi; getValidAccessToken()=SSE용 유효토큰; refreshTokenOnce()=중복방지 갱신; scheduleTokenRefresh()=선제 예약; 내부 decodeTokenExp/isTokenExpired; request/response 인터셉터","모든 services/*; chat.ts SSE도 토큰 사용; AuthContext","access=sessionStorage, refresh=localStorage. 토큰 정책 바꾸면 여기"
"API코어","src/api/queryClient.ts","React Query 전역","QueryClient 생성. staleTime 60s, retry 1. 모든 query/mutation 에러를 logError로 콘솔 집계(QueryCache/MutationCache onError).","queryClient","main.tsx Provider; 모든 훅; chatStore(invalidate)","전역 쿼리 정책은 여기"
"API서비스","src/api/services/auth.ts","인증 엔드포인트","login/signup/logout/refresh POST 래퍼. 타입은 types/auth.","login(), signup(), logout(), refresh()","AuthContext, axios(refresh)","/api/v1/auth/*"
"API서비스(핵심)","src/api/services/chat.ts","메시지 조회·SSE 스트리밍","채팅 답변은 토큰단위 스트리밍이라 Axios 대신 fetch 사용. postSse=토큰붙여 POST(401시 refresh 재시도), readSse=body reader로 data:라인 파싱→ 텍스트는 onChunk, {type:sources}→onSources, error→throw, idle 타임아웃(VITE_STREAM_IDLE_MS 기본 20분). 일반전송·재생성이 같은 형식 공유.","getMessages(), deleteMessage(), streamMessage()=전송SSE, regenerateMessageStream()=재생성SSE; 내부 postSse/readSse","chatStore가 소비","SSE 이벤트 형식/파싱 바꾸면 readSse. Axios 인터셉터 안 타므로 401 처리 별도"
"API서비스","src/api/services/session.ts","세션 CRUD·검색","대화 세션 목록(커서 페이지네이션)/생성/검색/제목수정/삭제.","getSessions(cursor,size), createSession(), searchSessions(), updateSession(), deleteSession()","useSession 훅; chatStore(빈세션 삭제); RecentChats","/api/v1/sessions/*. has_next/next_cursor"
"API서비스","src/api/services/document.ts","RAG 문서 조회·정규화","문서 목록 조회 + pickDocuments로 응답형태(items/documents/배열) 무엇이든 배열 추출. 30초 타임아웃(무한로딩 대신 에러UI).","getDocuments(params), pickDocuments(data)","useDocument, RagPage","백엔드 응답 불안정 대비 로직"
"API서비스","src/api/services/user.ts","유저·관리자 관리","내 정보 + 관리자 유저 목록/삭제/상세/승인/거절.","getMeUsers(), getUsers(), deleteUsers(), inquiryUsers(), approveUser(), rejectUser()","useUser 훅; ProtectedLayout(me); AdminPage","/api/v1/users/me, /admin/users/*"
"API서비스","src/api/services/inquiry.ts","1:1 문의","문의 등록(multipart)/조회/목록/삭제 + 관리자 답변.","getInquiry(), getInquiries(), postInquiry(), postAnswer(), getAdminInquiries(), deleteInquiry()","(문의 화면)","파일 첨부는 Content-Type multipart"
"API서비스","src/api/services/health.ts","서버 상태","db·llm_server bool 조회.","getHealth(); HealthResponse/HealthData 타입","useServerStatus→SidebarFooter","llm_server=false면 채팅 빈응답 원인일 수 있음"
"API상태(핵심·최대)","src/api/store/chatStore.ts","채팅 스트리밍 엔진","Zustand 스토어. 채팅의 모든 상태·스트리밍 로직 중심. 상태: sessionId/messages/isStreaming/error/isDeleted/abortController. createWriter가 SSE 토큰을 60ms throttle로 모아 in-place 갱신(재렌더 절감)+드래그선택 중 갱신 보류(복사 가능). executeStream/executeRegenerate가 성공/실패/빈응답 분기. 빈응답=백엔드 LLM 실패로 간주→ cleanupEmptyExchange로 질문+빈답·빈세션 정리. 세션별 캐시(sessionStorage rokm_cache_*)+inflight(localStorage rokm_inflight)+streamRegistry(메모리)로 새로고침·세션이동 복원. extractContent로 중첩 JSON 언랩.","useChatStore; connect(id)=진입시 스트림이어받기·캐시·서버로드·정렬dedup·inflight재시도; sendMessage(낙관적 추가후 스트림); retryLastMessage; regenerateMessage(원본질문 찾아 재생성, 못찾으면 재전송폴백); abortStream; peekSessionMessages/saveInflight/clearInflight/clearCache","chat.ts, session.ts, queryClient; ChatPage/MessageList/ChatInput가 소비","채팅 동작 대부분 여기. 재생성은 맨아래 답변만·in-place 금지 규칙과 연동"
"── 상수 ──","src/constants/","전역 상수","-","-","-","-"
"상수","src/constants/key.ts","스토리지 키","토큰 키 오타·중복 방지 상수.","LOCAL_STORAGE_KEY={ACCESS_TOKEN, REFRESH_TOKEN}","axios.ts, AuthContext, chat.ts","-"
"── 컨텍스트 ──","src/context/","전역 인증","-","-","-","-"
"컨텍스트","src/context/AuthContext.tsx","인증 Provider·useAuth","access/refresh 토큰을 useLocalStorage로 보관. login=서버호출 후 토큰 저장+state+예약갱신. logout=서버 logout+토큰삭제+'/'. accessToken 있으면 scheduleTokenRefresh.","AuthProvider, useAuth(){accessToken,refreshToken,login,logout}, AuthContext","App 최상단; 거의 모든 훅/레이아웃이 accessToken 확인","context 밖에서 useAuth 호출 시 throw"
"── 훅 ──","src/hooks/","재사용 훅","React Query 래퍼 + 유틸 훅.","-","-","-"
"훅(쿼리)","src/hooks/useSession.ts","세션 훅 모음","목록 무한스크롤(커서)+검색+생성/수정/삭제 뮤테이션. 뮤테이션 성공시 ['sessions'] 무효화.","useInfiniteSessions, useCreateSession, useSearchSessions, useUpdateSession, useDeleteSession","session.ts; ProtectedLayout, ChatPage, SearchPage, RecentChats, ChatInput","enabled: !!accessToken"
"훅(쿼리)","src/hooks/useUser.ts","유저 훅 모음","내 정보 + 관리자 유저 관리(목록/무한/승인/거절/삭제/상세).","useGetMe, useInfiniteUsers, useGetUsers, useInquiryUsers, useApproveUser, useRejectUser, useDeleteUsers","user.ts; 레이아웃, NewChatPage, AdminPage","401이면 레이아웃이 logout 트리거"
"훅(쿼리)","src/hooks/useDocument.ts","문서 무한스크롤","has_more + 누적 offset으로 다음 페이지 계산.","useInfiniteDocuments()","document.ts; RagPage","enabled: !!accessToken, LIMIT=20"
"훅(쿼리)","src/hooks/useServerStatus.ts","서버 헬스 폴링","db+llm_server 둘다 OK면 ok, 아니면 20초 간격 재시도.","useServerStatus(): checking|ok|error","health.ts; SidebarFooter 상태점","-"
"훅(유틸)","src/hooks/useLocalStorage.ts","스토리지 래퍼","local/session get/set/remove(JSON, try/catch). 반응형 아님(수동 get).","useLocalStorage<T>(key, 'local'|'session')","AuthContext","-"
"훅(유틸)","src/hooks/useDocumentTitle.ts","문서 타이틀","'제목 - MARS' 설정, 언마운트 시 복원.","useDocumentTitle(title?)","각 페이지","BASE_TITLE=MARS"
"── 타입 ──","src/types/","타입 정의","도메인 모델 + API DTO.","-","-","-"
"타입(도메인)","src/types/index.ts","프론트 도메인 모델","Message 유니온이 핵심: UserMessage/AssistantMessage(status: streaming|done|interrupted, sources?)/ImageMessage. 그외 Source, User, ChatItem, RagDocument.","Message, UserMessage, AssistantMessage, ImageMessage, Source, User, MessageRole","chatStore, 메시지 컴포넌트, 사이드바","서버 role(human/ai)↔프론트(user/assistant) 변환은 chatStore"
"타입(DTO)","src/types/chat.ts","채팅 API DTO","서버 메시지 MessageItem(role human|ai), 목록/삭제/스트림 요청·에러코드. 재생성은 SSE라 JSON 응답타입 없음(에러코드만).","MessageItem, MessageListData, GetMessagesResponse, StreamMessageRequest, *ErrorCode","chat.ts, chatStore","-"
"타입(DTO)","src/types/auth.ts","인증 DTO","login/signup/logout/refresh 요청·응답. 토큰은 data.data.access_token/refresh_token.","LoginRequest/Response, SignupRequest/Response, RefreshRequest/Response, LogoutRequest/Response","auth.ts, axios.ts, AuthContext","-"
"타입(DTO)","src/types/session.ts","세션 DTO","SessionData + 목록(커서)/생성/검색/수정/삭제.","SessionData, GetSessionsResponse, CreateSession*, SearchSessions*, UpdateSession*, DeleteSessionResponse","session.ts, useSession, ChatPage/SearchPage","has_next/next_cursor"
"타입(DTO)","src/types/user.ts","유저 DTO","내정보(GetMeResponse), 관리자 유저(AdminUserItem, role/status), 승인/거절/삭제 응답, 파라미터.","GetMeResponse, AdminUsersResponse, AdminUserItem, UserRole, UserStatus, GetAdminUsersParams","user.ts, useUser, AdminPage","-"
"타입(DTO)","src/types/document.ts","문서 DTO","DocumentItem + 목록응답/파라미터(offset/limit/has_more).","DocumentItem, GetDocumentsResponse, GetDocumentsParams","document.ts, useDocument, RagPage","-"
"타입(DTO)","src/types/inquiry.ts","문의 DTO","등록/조회/목록/답변/삭제 요청·응답.","Inquiries*, Answer*, AdminInquiries*, PostInquiries*","inquiry.ts","-"
"타입(공통)","src/types/api.ts","공통 응답 래퍼","백엔드 표준 응답 envelope(success/status_code/data/error) 등 공통 유틸 타입.","공통 래퍼 타입","각 서비스 타입","-"
"── 유틸 ──","src/utils/","순수 유틸","-","-","-","-"
"유틸","src/utils/error.ts","에러→사용자메시지","백엔드 error.code→HTTP status→fallback 순으로 메시지 매핑. 네트워크에러 판별.","getApiError(error,codeMap,statusMap,fallback), isNetworkError(), DEFAULT_STATUS_ERRORS, ApiError 타입","LoginPage, ChatPage, AdminPage, 레이아웃, RecentChats","각 화면의 *_ERRORS 맵과 함께 사용"
"유틸","src/utils/logError.ts","콘솔 로깅","axios 에러면 HTTP status/method URL/code/detail 한줄요약, 그외 name/message. 끄려면 본문만 비우면 전체 무음.","logError(context, error, extra?)","거의 전역(axios, chatStore, queryClient, 페이지)","디버깅 시 여기 로그 확인"
"유틸","src/utils/chunkReload.ts","청크 로드 복구","코드스플릿 청크 stale 실패 시 10초내 1회만 새로고침(무한루프 방지).","isChunkLoadError(), tryReloadOnce()","main.tsx(vite:preloadError)","-"
"── 페이지 ──","src/pages/","라우트 화면","-","-","-","-"
"페이지(핵심UI)","src/pages/LoginPage.tsx","랜딩+로그인","스크롤 인트로(히어로/특징/사용법/CTA) + '시작하기' 시 오른쪽40% 로그인패널 슬라이드인, 왼쪽60%는 히어로가 그대로 브랜딩·행성이 왼쪽 이동. 히어로 행성은 섹션 안(스크롤과 함께). openAuth는 아래로 스크롤됐으면 부드럽게 top 이동 후 열기(scrollend). 버튼은 시작하기↔팀소개/사용법 opacity 크로스페이드. react-hook-form+zod.","LoginPage; view(intro|auth)/mode(login|signup); handleLogin/handleSignup; openAuth/closeAuth; loginSchema/signupSchema","useAuth(login), auth.signup, MarsPlanet, Toast, error유틸, global.css(.mars-*)","최근 대량 리팩터 대상. 애니메이션은 global.css와 함께 봐야"
"페이지","src/pages/ChatPage.tsx","개별 대화(/chat/:id)","chatStore.connect(id)로 세션 연결→ MessageList+ChatInput. 세션없음/권한/서버오류 분기, 삭제된 세션이면 /chat 이동(toast). initialMessage(새채팅 첫질문) 처리, retryKey 재시도.","ChatPage; SESSION_ERRORS; connect/error/isDeleted 구독","chatStore, MessageList, ChatInput, useInfiniteSessions, useDocumentTitle","연결·에러 흐름은 여기"
"페이지","src/pages/NewChatPage.tsx","새 채팅(/chat)","'○○님 무엇을 도와드릴까요?' + ChatInput. 이전화면 toastError 표시. 첫 전송 시 ChatInput이 세션 생성.","NewChatPage","useGetMe(이름), ChatInput, Toast, useDocumentTitle","-"
"페이지(lazy)","src/pages/SearchPage.tsx","대화 검색(/search)","입력 300ms 디바운스→searchSessions, 결과·최근세션 목록, 선택시 /chat/:id.","SearchPage","useSearchSessions/useInfiniteSessions, SearchInput/SearchResults, Skeleton, Toast","코드 스플리팅(Suspense)"
"페이지(lazy)","src/pages/RagPage.tsx","문서 목록(/rag)","무한스크롤 카드 + 이름 필터 + 상세 모달(ESC 닫기, body modal-open).","RagPage","useInfiniteDocuments, pickDocuments, RagCard/RagSearchInput","문서 지연/502는 백엔드 이슈"
"페이지(lazy)","src/pages/AdminPage.tsx","유저 관리(/admin)","상태 탭(전체/대기/승인/거절), 승인·거절·삭제, 상태 배지, 유저 상세 모달(UserDetailModal이 body.modal-open 토글). 관리자 전용(AdminLayout 게이트).","AdminPage; UserDetailModal; DisplayUser, STATUS_LABEL/STYLE, USER_TABS, ADMIN_MUTATION_ERRORS","useUser 훅들, Skeleton, Toast, getApiError","상세 모달의 modal-open이 스크롤 잠금과 연관"
"페이지","src/pages/ErrorPage.tsx","에러/404","'페이지를 찾을 수 없습니다' + 이전/홈.","ErrorPage","App errorElement 및 '*'","-"
"── 레이아웃 ──","src/ui/layouts/","가드+셸","라우트 그룹 래퍼.","-","-","-"
"레이아웃","src/ui/layouts/AuthLayout.tsx","공개 가드","로그인(accessToken)이면 /chat 리다이렉트, 아니면 로그인 Outlet.","AuthLayout","useAuth","-"
"레이아웃","src/ui/layouts/ProtectedLayout.tsx","보호 셸+가드","미로그인이면 '/'. useGetMe(401이면 logout)+useInfiniteSessions로 Sidebar 구성, 접힘 토글, 메인을 ErrorBoundary로 감싸고 페이지전환 fade. --sidebar-width CSS변수.","ProtectedLayout; isOpen 상태; user/chats 매핑","useAuth, useGetMe, useInfiniteSessions, Sidebar, ErrorBoundary, Skeleton","사이드바·전역 셸 구조는 여기"
"레이아웃","src/ui/layouts/AdminLayout.tsx","관리자 게이트","useGetUsers로 접근 확인, 401/403이면 접근거부 화면, 로딩 스켈레톤.","AdminLayout","useAuth, useGetUsers, Skeleton","ProtectedLayout 하위 중첩"
"── 컴포넌트(공통) ──","src/ui/components/","재사용 UI","도메인별 하위폴더 포함.","-","-","-"
"컴포넌트","src/ui/components/MarsPlanet.tsx","CSS 화성 행성","순수 CSS 그라데이션 빨간 행성. glow(외곽 글로우)/className(크기)/style props. 이미지 없음.","MarsPlanet({className, glow, style})","LoginPage(히어로 행성), MessageBubble(AI 아바타)","크기는 className w/h로 조절"
"컴포넌트","src/ui/components/Toast.tsx","자동소멸 토스트","5초 후 페이드(400ms) 종료, error/success 타입, onClose 콜백. key로 재트리거.","Toast({message, onClose, type})","거의 모든 페이지","-"
"컴포넌트","src/ui/components/Skeleton.tsx","로딩 스켈레톤","공용 Skeleton + 화면별 프리셋(Sidebar/Messages/Search/Rag/Admin/Session 등). Suspense·로딩 폴백에 사용.","Skeleton, SidebarSkeleton, MessagesSkeleton, SearchPageSkeleton, RagPageSkeleton, AdminPageSkeleton, AdminRowSkeleton, SessionItemSkeleton, SearchSessionCardSkeleton 등","App/레이아웃/페이지 로딩상태","-"
"컴포넌트","src/ui/components/ErrorBoundary.tsx","에러 경계","하위 렌더 에러 캐치→폴백(앱 크래시 방지).","ErrorBoundary(class)","ProtectedLayout이 페이지 영역 감쌈","-"
"컴포넌트(미사용)","src/ui/components/LoginCard.tsx","레거시","이전 로그인 카드. 현재 import 안 됨(LoginPage가 폼 자체 보유).","LoginCard","(없음)","삭제 후보"
"컴포넌트(미사용)","src/ui/components/SignupCard.tsx","레거시","이전 회원가입 카드. 미사용.","SignupCard","(없음)","삭제 후보"
"컴포넌트(미사용)","src/ui/components/BackgroundWave.tsx","레거시","배경 웨이브 장식. 미사용.","BackgroundWave","(없음)","삭제 후보"
"── 컴포넌트: chat ──","src/ui/components/chat/","채팅 입력","-","-","-","-"
"컴포넌트(핵심)","src/ui/components/chat/ChatInput.tsx","메시지 입력창","자동 높이 textarea(최대192px), 초안을 세션별 Map(inputDrafts)에 보관(세션 오갈때 유지), 이미지 첨부. 새채팅 첫전송: createSession→saveInflight→/chat/:id 이동(state.initialMessage), 기존채팅: sendMessage. Enter 전송/Shift+Enter 줄바꿈. toSessionTitle=첫줄 30자 요약. 스트리밍 중 중단.","ChatInput({placeholder, notice, isConnecting}); handleSubmit; toSessionTitle; inputDrafts Map","chatStore(send/abort/image), useCreateSession, useNavigate, Toast","새채팅↔기존채팅 분기(isNewChat) 주의"
"── 컴포넌트: messages ──","src/ui/components/messages/","메시지 렌더","-","-","-","-"
"컴포넌트(핵심)","src/ui/components/messages/MessageList.tsx","목록+스크롤 앵커링","메시지 목록 렌더. 새 질문 시 그 질문을 상단 고정하고 아래에 딱 한화면만큼 spacer로 공간확보(답변이 아래에서 생성). spacer 높이는 state 대신 DOM 직접 반영(타이밍버그 방지). 커스텀 스크롤바 thumb(드래그), '맨아래로' 버튼, 복사실패 토스트. 스트리밍 중 메시지의 바로 앞 user 질문을 앵커로. 재생성은 lastAssistantId(맨아래 답변)에만.","MessageList({title,isLoading}); setSpacer/positionThumb/handleScroll/scrollToBottom; lastUserId/lastAssistantId 계산","chatStore(messages/isStreaming/regenerate), ChatHeader/MessageBubble/MessageActions/SourceBadge/ImageAttachment, Skeleton","스크롤/앵커 로직 복잡. 관리자 갔다온 뒤 스크롤 이슈 조사 지점"
"컴포넌트(핵심)","src/ui/components/messages/MessageBubble.tsx","말풍선+마크다운","사용자=빨강 그라데이션 라운드(rounded-[20 20 6 20]+그림자), AI=흰색+MarsPlanet 아바타+streamdown 마크다운(스트리밍 지원). 한글 붙은 볼드(...)**에) 보정 fixBold, 마크다운 정규화 normalizeMarkdown, mdComponents로 커스텀 렌더. 스트리밍 중 GeneratingIndicator(로딩점).","MessageBubble({role,content,isStreaming}); fixBold/normalizeMarkdown/streamMarkdown/mdComponents; GeneratingIndicator","Streamdown, MarsPlanet; MessageList","말풍선 디자인·마크다운 스타일은 여기"
"컴포넌트","src/ui/components/messages/MessageActions.tsx","말풍선 액션","hover 시 시간(툴팁=전체날짜)·복사(체크 피드백)·재생성 버튼. 재생성은 onRegenerate 있을때만(맨아래 답변).","MessageActions({role,onCopy,onRegenerate,regenerateDisabled,createdAt}); formatTime/formatFullDate","MessageList","group-hover/msg로 노출"
"컴포넌트","src/ui/components/messages/ChatHeader.tsx","대화 헤더","상단 세션 제목 표시.","ChatHeader({title})","MessageList","-"
"컴포넌트","src/ui/components/messages/SourceBadge.tsx","출처 배지","'출처 N개 보기' 토글→ RAG 근거 문서 목록(이름 확장자 제거, 페이지). sources 없으면 null.","SourceBadge({sources})","MessageList(assistant.sources)","Source 타입 사용"
"컴포넌트","src/ui/components/messages/ImageAttachment.tsx","이미지 메시지","이미지 첨부 메시지 렌더(파일명/캡션).","ImageAttachment({filename,caption})","MessageList(type=image)","-"
"── 컴포넌트: rag ──","src/ui/components/rag/","문서 화면 부품","-","-","-","-"
"컴포넌트","src/ui/components/rag/RagCard.tsx","문서 카드","제목/타입/미리보기 카드. 클릭 시 상세 모달.","RagCard","RagPage","-"
"컴포넌트","src/ui/components/rag/RagSearchInput.tsx","문서 검색창","이름 필터 입력(클라이언트 필터).","RagSearchInput","RagPage","-"
"── 컴포넌트: search ──","src/ui/components/search/","대화 검색 부품","-","-","-","-"
"컴포넌트","src/ui/components/search/SearchInput.tsx","세션 검색창","검색어 입력.","SearchInput","SearchPage","-"
"컴포넌트","src/ui/components/search/SearchResults.tsx","검색 결과 리스트","결과 목록 컨테이너(SearchResultItem 반복).","SearchResults","SearchPage","-"
"컴포넌트","src/ui/components/search/SearchResultItem.tsx","검색 결과 한 줄","제목/미리보기 항목. SearchResult 타입 export.","SearchResultItem; type SearchResult","SearchResults, SearchPage","-"
"── 컴포넌트: sidebar ──","src/ui/components/sidebar/","좌측 사이드바","-","-","-","-"
"컴포넌트(셸)","src/ui/components/sidebar/Sidebar.tsx","사이드바 조립","헤더+메뉴+최근대화+푸터. 열림(w-64)↔접힘(w-20) 너비 전환, overflow-hidden.","Sidebar(props: isOpen/chats/user/hasMore/onLoadMore...)","ProtectedLayout; 하위 4개","-"
"컴포넌트","src/ui/components/sidebar/SidebarHeader.tsx","상단 로고·토글","로고 + 접기 토글 버튼.","SidebarHeader({isOpen,onToggle})","Sidebar","-"
"컴포넌트","src/ui/components/sidebar/SidebarMenu.tsx","네비 메뉴","새 채팅/대화 검색/문서 검색 링크(active 표시). (팀소개/사용법은 footer 메뉴로 이동됨).","SidebarMenu({isOpen,activeLabel}); menuItems","Sidebar, react-router","활성표시는 location.pathname 비교"
"컴포넌트","src/ui/components/sidebar/RecentChats.tsx","최근 대화 목록","무한 목록(IntersectionObserver 센티넬로 더 불러오기). 제목 클릭 이동, 이름 수정(inline input)/삭제(현재 세션 삭제 시 /chat + clearCache). 현재 세션 점 표시.","RecentChats({isOpen,chats,hasMore,onLoadMore,isLoadingMore,isInitialLoading}); handleEditSubmit/handleDelete","useUpdateSession/useDeleteSession, clearCache, Toast, Skeleton","chats props + onLoadMore"
"컴포넌트","src/ui/components/sidebar/SidebarFooter.tsx","프로필+드롭다운","프로필 버튼(이름만) 클릭→ 클로드식 드롭다운 메뉴(위로 뜸): 이메일 헤더 + 팀 소개·서비스 이용법·관리자 페이지(관리자만)·로그아웃. 바깥클릭/Esc 닫힘.","SidebarFooter({isOpen,user}); showMenu 상태; menuItemCls","useAuth(logout), useNavigate; Sidebar","드롭다운 위치는 fixed left-3 bottom-[76px]"
"── 기타 ──","src/features/","빈 placeholder","향후 feature 모듈용. 현재 비어있음(.gitkeep).","-","-","미사용 자리표시"
"■부록","-","환경변수","VITE_SERVER_API_URL=백엔드 베이스URL(필수). VITE_STREAM_IDLE_MS=SSE 무응답 타임아웃(기본 1200000=20분).","-","-","-"
"■부록","-","자주 만지는 위치","로그인 디자인/애니: LoginPage+global.css(.mars-*). 브랜드색: global.css @theme. 채팅 스트리밍/빈응답/재생성: chatStore. SSE 파싱: chat.ts readSse. 토큰정책: axios.ts. 말풍선/마크다운: MessageBubble. 스크롤앵커: MessageList. 사이드바: sidebar/*. 라우트: App.tsx. 에러메시지: error.ts+각 페이지 *_ERRORS.","-","-","서술형 흐름 설명은 FRONTEND_GUIDE.md 참고"
