구분,page,depth1,depth2,depth3,기능,구현 여부,구현 우선 순위
채팅,사이드바,사용자,서비스 이용법,,가이드 페이지로 이동,,
채팅,사이드바,사용자,관리자 페이지,,관리자 권한(role=admin)일 때만 노출·/admin 이동,,
채팅,사이드바,사용자,로그아웃,,서버 토큰 무효화 후 토큰 삭제·로그인 이동,,
채팅,헤더(상단바),현재 세션명,세션 타이틀,,활성 세션 제목 표시,,
채팅,헤더(상단바),문서 보기,첨부 파일 버튼,,대화 내 생성 파일을 드로어로 모아 보기(첨부 있을 때만 노출),,
채팅,헤더(상단바),서버 상태,상태 표시등,,서버 상태 주기 점검 표시(양호/오류/확인 중),,
채팅,바디(신규 채팅),인삿말,사용자명 표시,,로그인 유저 이름으로 인사 문구,,
채팅,바디(신규 채팅),첫 메시지,전송,,세션 생성 후 이동·제목은 첫 질문 요약,,
채팅,바디(채팅),메시지 영역,사용자 메시지,,우측 말풍선,,
채팅,바디(채팅),메시지 영역,어시스턴트 메시지,,좌측 말풍선,,
채팅,바디(채팅),메시지 영역,도메인 태그,,선택한 도메인을 질문 위 태그로 표시(서버 저장값 복원),,
채팅,바디(채팅),메시지 영역,스트리밍,,토큰 단위 실시간 표시(서버는 검증 후 분할 전송),,
채팅,바디(채팅),메시지 영역,진행 상태,,검색·생성·검증 등 단계 안내 문구 표시(SSE status),,
채팅,바디(채팅),메시지 영역,출처,,근거 통과 답변만 출처 제시·클릭 시 문서 상세 드로어,,
채팅,바디(채팅),메시지 영역,생성 파일,,AI 생성 한글(HWP) 문서를 저장해 다운로드 제공,,
채팅,바디(채팅),메시지 영역,중단 안내,,중단·오류 응답에 다시 시도 버튼 표시,,
채팅,바디(채팅),스크롤,자동 스크롤,,새 질문 상단 고정·최신 메시지로 이동,,
채팅,바디(채팅),스크롤,맨 아래로,,하단 이탈 시 맨 아래 이동 버튼,,
채팅,바디(채팅),응답 제어,복사,,응답 텍스트 클립보드 복사,,
채팅,바디(채팅),응답 제어,재생성,,마지막 AI 답변 삭제 후 동일 질문 재요청(맨 아래에서 재생성),,
채팅,바디(채팅),응답 제어,시간,,메시지 전송 시각 표시,,
채팅,입력 영역,텍스트 입력,,,멀티라인·Enter 전송·Shift+Enter 줄바꿈·자동 높이 조절,,
채팅,입력 영역,파일 첨부,,,파일명만 화면 표시·서버 전송·요약 없음(미연동),,
채팅,입력 영역,도메인 선택,,,검색 범위 한정(미선택은 전체)·세션별 선택 기억,,
채팅,입력 영역,전송 버튼,,,메시지 전송(입력·첨부 있을 때만 노출),,
채팅,입력 영역,중단 버튼,,,스트리밍 중 연결 중단으로 생성 중지,,
채팅,푸터(채팅),안내,모델 주의 문구,,AI 응답은 오류가 있을 수 있음 안내,,
대화 검색,바디,검색,검색 입력,,제목 부분 일치 검색(입력 디바운스 300ms),,
대화 검색,바디,결과,검색 결과,,일치 세션 목록 표시,,
대화 검색,바디,결과,최근 대화,,미입력 시 최근 대화 카드 표시,,
대화 검색,바디,결과,항목 선택,,클릭 시 해당 채팅으로 이동,,
문서 검색,바디,문서 목록,전체 문서,,AI 서버 인덱싱 문서 목록·무한 스크롤,,
문서 검색,바디,문서 목록,건수 표시,,필터 적용 후 문서 수 표시,,
문서 검색,바디,도메인 탭,,,도메인별 필터(전체 목록 데이터에서 파생·서버 필터),,
문서 검색,바디,검색,이름 검색,,문서명·부서·형식 부분 일치(화면 내 필터),,
문서 검색,바디,문서 상세,드로어,,종류·소유 부서·공개 범위·적용일 표시,,
관리자,접근 제어,권한 확인,,,관리자 권한 없으면 접근 차단(AdminLayout),,
관리자,상단 탭,회원 관리/문서 관리,,,관리자 페이지 상단 탭 전환,,
관리자,회원 관리,관리자 목록,테이블,,관리자 계정 목록·페이지네이션(10개 단위),,
관리자,회원 관리,사용자 목록,상태 탭,,전체·대기 중·승인됨·거절됨 필터,,
관리자,회원 관리,사용자 목록,검색,,이름·이메일 부분 일치(화면 내 필터),,
관리자,회원 관리,사용자 목록,페이지네이션,,페이지 단위 표시(10개 단위),,
관리자,회원 관리,회원 처리,승인,,대기·거절 계정 승인,,
관리자,회원 관리,회원 처리,거절,,대기 계정 거절,,
관리자,회원 관리,회원 처리,삭제,,승인·거절·관리자 계정 삭제(본인 삭제 불가),,
관리자,회원 관리,회원 처리,상세 보기,,행 클릭 시 사용자 상세 정보 모달(이름·이메일·ID·역할·상태·가입일·수정일),,
관리자,회원 관리,회원 처리,ID 복사,,사용자 ID 클립보드 복사,,
관리자,문서 관리,업로드,드래그앤드롭·파일 선택,,문서 업로드(pdf·docx·hwp·md·txt)·업로드 도메인 선택,,
관리자,문서 관리,문서 목록,테이블,,문서명·종류·용량·도메인·소속·등록일 표시,,
관리자,문서 관리,문서 목록,상태 필터,,전체·처리 중·완료·실패 탭,,
관리자,문서 관리,문서 목록,이름 검색,,문서명 부분 일치(화면 내 필터),,
관리자,문서 관리,색인 상태,상태 배지,,처리 중·완료·실패 표시(처리 중 문서는 상태 API로 개별 검증·폴링),,
관리자,문서 관리,문서 처리,삭제,,확인 후 문서 삭제,,
가이드,헤더,서비스 이름,,,클릭 시 홈(로그인)으로 이동,,
가이드,바디,이용법 안내,단계별 목업,,질문·도메인·근거·검색 사용법 소개(정적),,
가이드,바디,이용법 안내,FAQ,,자주 묻는 질문 아코디언,,
가이드,바디,이용법 안내,CTA,,시작하기 버튼으로 홈 이동,,
